part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_size,label_color,label_y_offset,label_rotation
Loc1_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc1,4,0.0;0.0;0.0,-10,90
Loc2_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc2,4,0.0;0.0;0.0,-10,90
Loc3_NONCE_PAD,UserDefined,30,,,25,1.00;1.00;1.00,,,,,,Loc3,4,0.0;0.0;0.0,-10,90
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,,pTet,4,0.0;0.0;0.0,-18,90
pBAD,Promoter,,,,,0.0;0.0;0.0,,,,,,pBAD,4,0.0;0.0;0.0,-18,90
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,,RiboJ51,4,0.56;0.78;0.24,-24,90
H1,RBS,,,,,0.56;0.78;0.24,,,,,,H1,4,0.56;0.78;0.24,-14,90
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,,HlyIIR,4,0.56;0.78;0.24,-22,90
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,,ECK120033736,4,0.56;0.78;0.24,-34,90
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,,pHlyIIR,4,0.56;0.78;0.24,-24,90
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,,RiboJ53,4,0.98;0.64;0.15,-24,90
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,,PhlF,4,0.98;0.64;0.15,-18,90
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,,ECK120033737,4,0.98;0.64;0.15,-34,90
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,,pPhlF,4,0.98;0.64;0.15,-20,90
P3,RBS,,,,,0.98;0.64;0.15,,,,,,P3,4,0.98;0.64;0.15,-14,90
RiboJ10,Ribozyme,,,,,0.0;0.41;0.22,,,,,,RiboJ10,4,0.0;0.41;0.22,-24,90
SrpR,CDS,,,,,0.0;0.41;0.22,,,,,,SrpR,4,0.0;0.41;0.22,-18,90
pSrpR,Promoter,,,,,0.0;0.41;0.22,,,,,,pSrpR,4,0.0;0.41;0.22,-20,90
ECK120029600,Terminator,,,,,0.0;0.41;0.22,,,,,,ECK120029600,4,0.0;0.41;0.22,-34,90
S4,RBS,,,,,0.0;0.41;0.22,,,,,,S4,4,0.0;0.41;0.22,-14,90
F_scar,Scar,,,,,0.0;0.0;0.0,,,,,,F_scar,4,0.0;0.0;0.0,-22,90
E_scar,Scar,,,,,0.0;0.0;0.0,,,,,,E_scar,4,0.0;0.0;0.0,-22,90
D_scar,Scar,,,,,0.0;0.0;0.0,,,,,,D_scar,4,0.0;0.0;0.0,-22,90
C_scar,Scar,,,,,0.0;0.0;0.0,,,,,,C_scar,4,0.0;0.0;0.0,-22,90
B_scar,Scar,,,,,0.0;0.0;0.0,,,,,,B_scar,4,0.0;0.0;0.0,-22,90
A_scar,Scar,,,,,0.0;0.0;0.0,,,,,,A_scar,4,0.0;0.0;0.0,-22,90
Y_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Y_scar,4,0.0;0.0;0.0,-22,90
X_scar,Scar,,,,,0.0;0.0;0.0,,,,,,X_scar,4,0.0;0.0;0.0,-22,90
V_scar,Scar,,,,,0.0;0.0;0.0,,,,,,V_scar,4,0.0;0.0;0.0,-22,90
U_scar,Scar,,,,,0.0;0.0;0.0,,,,,,U_scar,4,0.0;0.0;0.0,-22,90
R_scar,Scar,,,,,0.0;0.0;0.0,,,,,,R_scar,4,0.0;0.0;0.0,-22,90
Q_scar,Scar,,,,,0.0;0.0;0.0,,,,,,Q_scar,4,0.0;0.0;0.0,-22,90
P_scar,Scar,,,,,0.0;0.0;0.0,,,,,,P_scar,4,0.0;0.0;0.0,-22,90
O_scar,Scar,,,,,0.0;0.0;0.0,,,,,,O_scar,4,0.0;0.0;0.0,-22,90
G_scar,Scar,,,,,0.0;0.0;0.0,,,,,,G_scar,4,0.0;0.0;0.0,-22,90
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,,YFP_cassette,4,0.00;0.00;0.00,-34,90
